Date,Time,"Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","Core Clocks (avg) [MHz]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Ring/LLC Clock [MHz]","Core Effective Clocks (avg) [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core Usage (avg) [%]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core Utility (avg) [%]","Core 0 T0 Utility [%]","Core 0 T1 Utility [%]","Core 1 T0 Utility [%]","Core 1 T1 Utility [%]","Core 2 T0 Utility [%]","Core 2 T1 Utility [%]","Core 3 T0 Utility [%]","Core 3 T1 Utility [%]","Total CPU Utility [%]","Core Ratios (avg) [x]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core Temperatures (avg) [°C]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core Distance to TjMAX (avg) [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core Thermal Throttling (avg) [Yes/No]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core Critical Temperature (avg) [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core Power Limit Exceeded (avg) [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","Total System Power [W]","System Agent Power [W]","Rest-of-Chip Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","PCH Power [W]","GPU Clock [MHz]","GPU D3D Usage [%]","GPU D3D Utilizations (avg) [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU Video Processing 1 Usage [%]","GPU D3D Memory Dynamic [MB]","Current cTDP Level []","Package C2 Residency [%]","Package C3 Residency [%]","Package C6 Residency [%]","Core C0 Residency (avg) [%]","Core 0 T0 C0 Residency [%]","Core 0 T1 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 1 T1 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 2 T1 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core 3 T1 C0 Residency [%]","Core C7 Residency (avg) [%]","Core 0 C7 Residency [%]","Core 1 C7 Residency [%]","Core 2 C7 Residency [%]","Core 3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","Gear Mode []","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: Thermal Event [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: Running Average Thermal Limit [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Battery Voltage [V]","Remaining Capacity [Wh]","Charge Level [%]","Wear Level [%]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []","iGPU VID [V]",
6.9.2022,16:14:58.738,15747,7053,69.0,7102,8658,45.0,42.1,1.080,1.077,1.080,1.077,1.085,0.911,0.753,4124.1,4124.1,4124.1,4124.1,4124.1,95.9,3452.8,1378.8,1218.9,561.7,2264.5,1464.2,1003.5,547.7,565.9,3403.9,1378.8,29.6,23.8,10.6,48.4,30.5,21.3,10.0,14.5,77.6,77.6,29.6,100.0,75.6,64.3,30.8,124.7,81.0,54.3,29.9,30.8,189.0,75.6,43.0,43.0,43.0,43.0,43.0,36.0,77,68,74,74,91,23,32,26,26,9,91,91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,65,26.597,22.419,0.258,37.268,1.904,0.526,30.5,57.0,0.831,95.9,6.9,0.0,0.0,0.0,0.0,0.0,926,2,0.0,0.0,0.0,31.0,27.7,13.0,50.8,32.5,23.1,12.9,13.1,75.2,37.7,58.0,16.5,64.5,11.8,767.3,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,1.8,0.4,2.2,1.158,0.216,68038,80448,17.117,62.305,100.0,0.0,8381,2010,6.640,0.946,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:0.813,15752,7049,69.0,7108,8652,45.1,42.1,1.079,1.077,1.080,1.075,1.082,0.911,0.753,4342.6,4342.6,4342.6,4342.6,4342.6,101.0,3635.7,1363.3,1248.4,1137.4,1723.0,2030.0,809.3,749.1,672.2,2536.5,1363.3,29.7,28.7,25.0,38.6,43.1,17.4,15.9,12.8,56.0,56.0,29.7,100.0,75.1,69.4,62.8,94.6,112.5,43.3,41.2,36.5,140.7,75.1,43.0,43.0,43.0,43.0,43.0,36.0,73,73,74,65,81,27,27,26,35,19,80,81,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,82,82,65,25.931,22.141,0.111,36.457,1.906,0.524,31.5,57.0,0.586,101.0,2.7,0.0,0.0,0.0,0.0,0.0,920,2,0.0,0.0,0.0,31.1,30.0,25.6,39.6,45.2,19.3,17.6,15.8,56.1,33.3,45.2,14.3,60.1,13.6,807.9,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,1.4,0.1,1.5,0.818,0.306,68040,80448,17.117,62.305,100.0,0.0,8381,2010,0.167,0.149,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:2.869,15778,7023,69.1,7127,8633,45.2,42.0,1.080,1.077,1.082,1.077,1.082,0.893,0.751,4342.6,4342.6,4342.6,4342.6,4342.6,101.0,3534.7,1826.3,1992.3,918.0,2134.2,1607.0,1734.4,1639.3,1881.3,2703.9,1826.3,41.9,43.5,22.9,57.2,36.6,38.1,32.8,45.0,58.7,58.7,41.9,100.0,99.8,107.3,50.2,116.4,87.6,94.1,89.5,103.6,149.9,99.8,43.0,43.0,43.0,43.0,43.0,35.0,77,73,82,73,81,23,27,18,27,19,82,82,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,83,83,65,28.605,24.735,0.182,39.485,1.938,0.555,32.5,57.0,0.553,101.0,4.6,0.0,0.0,0.0,0.0,0.0,925,2,0.0,0.0,0.0,42.2,46.4,21.5,50.0,37.0,40.7,37.5,43.0,61.8,20.1,33.0,21.8,21.6,3.9,807.9,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,3.4,0.6,4.0,1.325,0.585,68042,80449,17.116,62.305,100.0,0.0,8381,2010,4.788,0.079,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:4.925,15711,7090,68.9,7071,8689,44.8,42.0,1.080,1.077,1.082,1.075,1.085,0.893,0.753,4291.1,4291.1,4291.1,4291.1,4291.1,99.8,3492.8,1432.5,1062.4,1117.5,1485.6,2035.1,1247.4,728.7,819.1,2964.1,1432.5,31.6,24.2,21.9,33.3,43.1,28.7,16.6,18.1,66.6,66.6,31.6,100.0,78.9,58.0,61.8,81.4,112.0,68.5,40.2,43.8,165.5,78.9,43.0,43.0,43.0,43.0,43.0,35.0,77,70,85,66,86,23,30,15,34,14,85,86,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,84,84,65,26.607,22.657,0.137,37.011,1.917,0.530,33.5,57.0,0.707,99.8,3.7,0.0,0.0,0.0,0.0,0.0,880,2,0.0,0.0,0.0,32.7,25.1,25.3,34.1,45.9,28.9,17.1,19.0,66.0,32.4,47.3,23.0,50.6,8.5,798.3,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,0.6,0.6,1.2,0.055,0.192,68042,80450,17.117,62.305,100.0,0.0,8381,2010,0.150,0.128,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:6.959,15710,7091,68.8,7068,8693,44.8,42.0,1.080,1.077,1.080,1.077,1.085,0.911,0.753,4291.1,4291.1,4291.1,4291.1,4291.1,99.8,3592.6,1406.8,1246.7,1196.2,1839.8,1220.6,1481.9,322.3,993.2,2953.3,1406.8,33.2,29.5,26.5,41.6,29.5,39.3,6.8,25.7,66.6,66.6,33.2,100.0,77.4,67.4,66.1,100.8,68.5,80.5,17.2,55.6,162.9,77.4,43.0,43.0,43.0,43.0,43.0,36.0,78,73,76,74,89,22,27,24,26,11,89,89,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,80,80,66,26.556,22.429,0.170,37.104,1.933,0.538,34.5,57.0,0.833,99.8,4.2,0.0,0.0,0.0,0.0,0.0,878,2,0.0,0.0,0.0,32.2,29.4,27.0,42.5,27.5,34.6,7.8,22.9,65.8,32.0,40.8,26.0,51.7,9.4,798.3,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,38,97.0,No,No,2530,2605,3.4,0.6,4.0,2.384,0.226,68047,80450,17.117,62.305,100.0,0.0,8381,2010,7.947,2.116,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:9.002,15701,7100,68.8,7070,8691,44.8,42.0,1.079,1.075,1.082,1.075,1.085,0.911,0.753,4341.3,4341.3,4341.3,4341.3,4341.3,101.0,3634.6,1267.8,430.0,594.8,1946.4,1698.2,1242.8,867.0,265.7,3097.2,1267.8,27.9,11.4,12.3,41.2,36.1,28.4,19.0,5.3,69.4,69.4,27.9,100.0,69.9,22.9,32.7,107.3,94.1,68.3,47.9,14.2,171.9,69.9,43.0,43.0,43.0,43.0,43.0,36.0,76,65,86,60,91,25,35,14,40,9,92,91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,87,87,66,25.601,21.658,0.068,35.816,1.911,0.499,35.5,57.0,0.782,101.0,1.9,0.0,0.0,0.0,0.0,0.0,878,2,0.0,0.0,0.0,28.6,11.0,13.7,43.8,37.6,28.0,19.7,6.4,68.5,40.2,74.3,17.7,50.8,17.9,807.7,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,38,97.0,No,No,2530,2605,0.7,0.5,1.2,0.264,0.190,68048,80451,17.119,62.305,100.0,0.0,8381,2010,0.316,0.000,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:11.048,15707,7093,68.8,7081,8679,44.9,42.0,1.080,1.077,1.082,1.077,1.082,0.891,0.751,4341.3,4341.3,4341.3,4341.3,4341.3,101.0,3533.6,1257.9,1033.1,625.7,1322.1,1713.2,951.2,1585.0,1018.2,1814.7,1257.9,26.7,21.3,12.1,26.7,37.8,19.6,35.8,20.4,39.6,39.6,26.7,100.0,69.2,56.0,34.5,72.2,95.0,52.1,87.7,55.9,100.6,69.2,43.0,43.0,43.0,43.0,43.0,35.0,77,75,86,67,79,23,25,14,33,21,86,86,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,87,87,66,26.076,22.124,0.073,36.303,1.918,0.499,36.5,57.0,0.777,101.0,2.0,0.0,0.0,0.0,0.0,0.0,880,2,0.0,0.0,0.0,28.1,23.4,14.0,30.0,37.8,21.4,35.1,22.9,39.9,43.1,61.1,33.2,43.3,34.8,807.7,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,1.0,0.2,1.2,0.273,0.101,68048,80451,17.117,62.305,100.0,0.0,8381,2010,5.317,0.104,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:13.091,15703,7098,68.8,7079,8682,44.9,42.0,1.079,1.077,1.080,1.075,1.082,0.911,0.753,4341.8,4341.8,4341.8,4341.8,4341.8,101.0,3635.0,1181.0,896.1,1071.2,1230.6,1063.5,602.9,1495.4,588.6,2499.4,1181.0,26.3,22.1,22.3,29.7,23.6,11.5,31.5,13.7,56.1,56.1,26.3,100.0,65.2,49.3,59.4,67.2,58.8,33.0,83.0,32.2,138.8,65.2,43.0,43.0,43.0,43.0,43.0,36.0,72,68,77,63,78,29,32,23,37,22,79,78,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,82,82,66,24.617,20.859,0.003,34.764,1.900,0.485,37.5,57.0,0.677,101.0,0.1,0.0,0.0,0.0,0.0,0.0,880,2,0.0,0.0,0.0,26.5,20.5,23.6,29.1,23.6,13.7,33.4,13.1,55.2,42.7,49.6,45.8,52.1,23.5,807.8,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,0.6,0.4,1.0,0.168,0.208,68048,80451,17.117,62.305,100.0,0.0,8381,2010,0.646,0.405,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
6.9.2022,16:15:15.144,15709,7092,68.8,7085,8676,44.9,42.0,1.079,1.080,1.080,1.077,1.080,0.891,0.751,4341.8,4341.8,4341.8,4341.8,4341.8,101.0,3534.0,1348.4,1311.6,1141.3,974.7,1579.3,664.3,1288.8,711.0,3115.9,1348.4,29.0,27.6,23.6,22.3,33.8,13.7,28.2,14.6,67.9,67.9,29.0,100.0,74.1,71.2,63.1,52.6,87.5,35.7,71.1,38.6,172.9,74.1,43.0,43.0,43.0,43.0,43.0,35.0,74,81,74,70,70,26,19,26,30,30,81,81,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,86,86,66,26.297,22.372,0.154,36.562,1.932,0.521,38.5,57.0,0.650,605.8,4.5,0.0,0.0,0.0,0.0,0.0,863,2,0.0,0.0,0.0,30.5,29.9,25.6,23.4,35.5,15.7,29.1,16.3,68.9,37.4,44.1,41.6,52.0,12.0,807.8,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,0.4,0.2,0.6,0.236,0.126,68049,80451,17.117,62.305,100.0,0.0,8381,2010,4.830,0.026,0,0,0.000,0.000,0,0,0.000,0.000,0,0.700,
6.9.2022,16:15:17.179,15721,7079,68.9,7097,8663,45.0,42.0,1.081,1.082,1.080,1.077,1.082,0.891,0.751,4327.7,4327.7,4327.7,4327.7,4327.7,100.6,3522.6,1367.3,1080.9,706.4,1001.3,1393.4,1375.3,1228.9,1631.8,2520.4,1367.3,30.3,25.9,17.5,17.5,31.2,33.5,28.2,33.5,54.9,54.9,30.3,100.0,75.1,58.4,38.7,53.8,77.0,75.4,67.9,89.9,139.8,75.1,43.0,43.0,43.0,43.0,43.0,35.0,78,86,79,69,79,22,14,21,31,21,86,86,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,85,85,67,26.252,22.037,0.271,36.770,1.951,0.527,39.5,57.0,0.798,100.6,7.0,0.0,0.0,0.0,0.0,0.0,878,2,0.0,0.0,0.0,31.0,25.3,16.3,24.1,31.2,31.4,27.6,36.3,55.6,38.8,58.3,41.8,43.2,11.8,805.2,8.00,22,22,22,52,74,560,1,1,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,97.0,No,No,2530,2605,1.2,0.3,1.6,0.666,0.238,68050,80452,17.117,62.305,100.0,0.0,8381,2010,0.319,0.228,0,0,0.000,0.000,0,0,0.000,0.000,0,0.000,
