Date,Time,"Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core Clocks (avg) [MHz]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","Core Effective Clocks (avg) [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core Usage (avg) [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core Utility (avg) [%]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core Ratios (avg) [x]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core Temperatures (avg) [°C]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core Distance to TjMAX (avg) [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core Thermal Throttling (avg) [Yes/No]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core Critical Temperature (avg) [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core Power Limit Exceeded (avg) [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU IA Cores [°C]","CPU Graphics [°C]","CPU System Agent [°C]","CPU Camera Unit (ISP) [°C]","iGPU VID [V]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","GPU Clock [MHz]","Imaging Unit (IMGU) Clock [MHz]","GPU D3D Usage [%]","GPU D3D Utilizations (avg) [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU Video Processing 1 Usage [%]","GPU D3D Memory Dynamic [MB]","Package C2 Residency [%]","Core C0 Residency (avg) [%]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core C1 Residency (avg) [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core C6 Residency (avg) [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Command Rate [T]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
31.8.2022,11:56:29.052,1914,7381,20.5,2123,5892,26.4,0.0,1.085,1.085,1.085,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,333.7,265.6,407.0,366.8,295.4,333.7,17.3,13.7,20.7,22.1,12.8,22.1,17.3,100.0,20.5,16.3,25.2,22.5,18.0,20.5,8,8,8,8,8,32,54,54,55,53,53,56,56,55,57,57,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,54,56,54,1.055,2.581,0.912,5.455,12.0,15.0,500.0,550.0,4.8,0.0,0.0,0.0,0.0,0.0,138,1.2,20.8,17.2,23.1,24.2,18.7,3.4,2.8,3.1,3.8,3.8,75.5,79.7,73.4,71.7,77.1,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.2,0.2,0.000,0.127,1870,762,0.0,0.0,0.0,0.000,0.000,81,2,1.263,0.054,81,2,1.233,0.054,0,0,0.000,0.000,0,
31.8.2022,11:56:31.072,1937,7357,20.8,2134,5881,26.6,0.0,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,776.1,831.1,780.8,744.9,747.7,776.1,41.3,50.3,40.1,35.1,39.6,50.3,41.3,100.0,48.1,52.2,48.0,46.0,46.1,48.1,20,20,20,20,20,32,56,57,56,55,55,54,53,54,55,55,58,57,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,55,56,55,1.352,3.633,2.329,6.715,12.0,15.0,500.0,550.0,3.1,0.0,0.0,0.0,0.0,0.0,141,2.9,40.8,43.5,40.7,39.5,39.5,12.2,6.9,18.2,12.8,10.8,46.0,48.4,40.2,46.7,48.6,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,6.4,0.5,6.9,1.625,0.242,1873,763,0.0,0.0,0.0,0.000,0.000,81,2,9.400,1.691,81,2,9.400,1.691,0,0,0.000,0.000,0,
31.8.2022,11:56:33.133,1955,7340,21.0,2153,5862,26.8,0.0,1.085,1.085,1.085,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,374.6,489.0,330.1,303.9,375.5,374.6,20.4,30.5,19.0,17.5,14.5,30.5,20.4,100.0,22.9,30.0,20.1,18.3,23.2,22.9,8,8,8,8,8,32,54,55,55,54,53,56,55,55,56,57,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,54,57,54,1.070,2.693,1.095,5.725,12.0,15.0,500.0,550.0,1.7,0.0,0.0,0.0,0.0,0.0,150,0.0,22.7,32.2,20.6,16.5,21.5,6.7,5.6,5.1,8.0,8.2,69.6,61.2,73.5,74.7,69.3,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.1,0.5,0.6,0.031,0.244,1873,763,0.0,0.0,0.0,0.000,0.000,81,2,0.766,0.108,81,2,0.766,0.108,0,0,0.000,0.000,0,
31.8.2022,11:56:35.153,1920,7375,20.6,2140,5875,26.6,0.0,1.205,1.205,1.205,1.205,1.205,2000.0,2000.0,2000.0,2000.0,2000.0,100.0,533.3,367.4,479.7,368.2,329.0,292.7,367.4,20.6,26.7,24.4,16.7,14.5,26.7,20.6,100.0,22.5,29.3,22.5,20.5,17.9,22.5,20,20,20,20,20,32,55,56,56,54,54,55,54,54,56,56,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,54,56,54,1.352,2.557,1.026,5.418,12.0,15.0,500.0,550.0,2.1,0.0,0.0,0.0,0.0,0.0,138,1.6,23.2,33.6,23.1,18.7,17.2,4.7,3.0,4.0,7.7,4.0,71.9,63.1,72.5,73.4,78.5,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.2,0.4,0.6,0.110,0.172,1873,764,0.0,0.0,0.0,0.000,0.000,81,2,7.301,1.754,81,2,7.301,1.754,0,0,0.000,0.000,0,
31.8.2022,11:56:37.215,1919,7376,20.6,2128,5887,26.5,0.0,1.079,1.075,1.080,1.080,1.080,800.0,800.0,800.0,800.0,800.0,100.0,533.3,724.3,712.8,696.7,719.3,768.5,724.3,37.5,34.6,36.9,38.4,40.3,40.3,37.5,100.0,45.0,44.4,43.0,44.7,47.8,45.0,8,8,8,8,8,32,55,55,55,54,54,56,55,55,56,56,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,56,53,1.055,3.402,2.214,6.159,12.0,15.0,500.0,550.0,6.3,0.0,0.0,0.0,0.0,0.0,141,2.0,37.6,38.3,36.2,36.9,39.1,11.2,15.3,11.8,8.9,8.7,51.0,46.2,51.8,54.0,51.9,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.2,0.4,0.6,0.049,0.208,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,10.245,2.683,82,2,10.245,2.683,0,0,0.000,0.000,0,
31.8.2022,11:56:39.278,1916,7378,20.6,2127,5888,26.5,0.0,1.085,1.085,1.085,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,172.8,167.9,167.8,161.9,193.6,172.8,9.1,5.3,7.6,8.3,15.1,15.1,9.1,100.0,10.4,10.0,10.0,9.7,11.8,10.4,8,8,8,8,8,32,54,54,53,55,55,56,56,57,55,55,56,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,54,56,54,1.070,2.264,0.450,5.185,12.0,15.0,500.0,550.0,4.8,0.0,0.0,0.0,0.0,0.0,141,0.0,13.4,12.3,13.0,12.3,16.1,0.1,0.1,0.1,0.1,0.0,86.3,87.4,86.7,87.5,83.7,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.1,0.1,0.000,0.025,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,2.200,0.115,82,2,2.200,0.115,0,0,0.000,0.000,0,
31.8.2022,11:56:41.334,1920,7375,20.6,2132,5883,26.6,0.0,1.084,1.080,1.085,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,203.4,171.6,224.3,193.3,224.1,203.4,12.0,10.5,15.7,7.5,14.3,15.7,12.0,100.0,12.5,10.2,14.1,11.9,14.0,12.5,8,8,8,8,8,32,54,54,54,53,53,57,56,56,57,57,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,54,56,54,1.047,2.370,0.545,5.233,12.0,15.0,500.0,550.0,6.5,0.0,0.0,0.0,0.0,0.0,141,1.2,14.8,12.3,16.9,13.3,16.6,1.7,0.1,4.9,1.9,0.1,82.8,86.8,77.5,84.3,82.6,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.1,0.3,0.4,0.015,0.075,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,1.744,0.030,82,2,1.744,0.030,0,0,0.000,0.000,0,
31.8.2022,11:56:43.392,1917,7377,20.6,2129,5886,26.5,0.0,1.082,1.080,1.080,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,39.2,17.8,16.8,97.6,24.5,39.2,1.5,0.7,0.0,5.3,0.0,5.3,1.5,100.0,2.3,0.9,0.9,5.9,1.4,2.3,8,8,8,8,8,32,54,56,54,53,53,56,54,56,57,57,56,56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,56,53,1.047,1.965,0.102,4.909,12.0,15.0,500.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,141,1.2,3.1,1.9,1.9,6.7,2.1,0.7,0.2,0.0,2.6,0.0,96.1,97.8,98.0,90.8,97.9,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.1,0.1,0.000,0.036,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,7.240,0.000,82,2,7.240,0.000,0,0,0.000,0.000,0,
31.8.2022,11:56:45.450,1915,7380,20.6,2129,5886,26.5,0.0,1.085,1.085,1.085,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,38.5,20.4,44.8,66.6,22.3,38.5,1.5,0.7,1.5,3.0,0.7,3.0,1.5,100.0,2.3,1.0,2.6,4.1,1.3,2.3,8,8,8,8,8,32,54,55,55,53,53,56,55,55,57,57,57,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,56,54,1.047,1.979,0.100,4.926,12.0,15.0,500.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,141,0.0,3.1,2.3,3.2,5.2,1.7,0.0,0.0,0.0,0.0,0.0,96.9,97.7,96.7,94.8,98.3,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.1,0.1,0.000,0.000,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,2.463,0.060,82,2,2.463,0.060,0,0,0.000,0.000,0,
31.8.2022,11:56:47.499,1909,7386,20.5,2125,5890,26.5,0.0,1.085,1.085,1.085,1.085,1.085,800.0,800.0,800.0,800.0,800.0,100.0,533.3,47.5,28.3,22.7,105.1,33.7,47.5,2.5,3.0,1.5,3.8,1.5,3.8,2.5,100.0,2.8,1.5,1.2,6.4,1.9,2.8,8,8,8,8,8,32,54,54,54,53,53,57,56,56,57,57,56,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,54,56,54,1.063,1.980,0.118,4.925,12.0,15.0,500.0,550.0,0.2,0.0,0.0,0.0,0.0,0.0,141,0.0,4.2,3.3,2.7,7.9,2.9,0.1,0.2,0.1,0.0,0.0,95.7,96.5,97.1,92.0,97.0,800.0,12.00,11,11,11,28,1,49,100.0,No,No,52,32,0.0,0.1,0.1,0.000,0.001,1874,764,0.0,0.0,0.0,0.000,0.000,82,2,17.541,0.000,82,2,17.541,0.000,0,0,0.000,0.000,0,
