Date,Time,"Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core Clocks (avg) [MHz]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Bus Clock [MHz]","Uncore Clock [MHz]","Core Effective Clocks (avg) [MHz]","Core 0 Effective Clock [MHz]","Core 1 Effective Clock [MHz]","Core 2 Effective Clock [MHz]","Core 3 Effective Clock [MHz]","Average Effective Clock [MHz]","Core Usage (avg) [%]","Core 0 Usage [%]","Core 1 Usage [%]","Core 2 Usage [%]","Core 3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core Utility (avg) [%]","Core 0 Utility [%]","Core 1 Utility [%]","Core 2 Utility [%]","Core 3 Utility [%]","Total CPU Utility [%]","Core Ratios (avg) [x]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Uncore Ratio [x]","Core Temperatures (avg) [°C]","Core 0 [°C]","Core 1 [°C]","Core 2 [°C]","Core 3 [°C]","Core Distance to TjMAX (avg) [°C]","Core 0 Distance to TjMAX [°C]","Core 1 Distance to TjMAX [°C]","Core 2 Distance to TjMAX [°C]","Core 3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core Thermal Throttling (avg) [Yes/No]","Core 0 Thermal Throttling [Yes/No]","Core 1 Thermal Throttling [Yes/No]","Core 2 Thermal Throttling [Yes/No]","Core 3 Thermal Throttling [Yes/No]","Core Critical Temperature (avg) [Yes/No]","Core 0 Critical Temperature [Yes/No]","Core 1 Critical Temperature [Yes/No]","Core 2 Critical Temperature [Yes/No]","Core 3 Critical Temperature [Yes/No]","Core Power Limit Exceeded (avg) [Yes/No]","Core 0 Power Limit Exceeded [Yes/No]","Core 1 Power Limit Exceeded [Yes/No]","Core 2 Power Limit Exceeded [Yes/No]","Core 3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU IA Cores [°C]","CPU Graphics [°C]","CPU System Agent [°C]","CPU Camera Unit (ISP) [°C]","CPU Package Power [W]","IA Cores Power [W]","GT Cores Power [W]","PL2 Power Limit [W]","GPU Clock [MHz]","Imaging Unit (IMGU) Clock [MHz]","GPU D3D Usage [%]","GPU D3D Utilizations (avg) [%]","GPU Video Decode 0 Usage [%]","GPU Video Decode 1 Usage [%]","GPU Video Processing 0 Usage [%]","GPU Video Processing 1 Usage [%]","GPU D3D Memory Dynamic [MB]","Core C0 Residency (avg) [%]","Core 0 T0 C0 Residency [%]","Core 1 T0 C0 Residency [%]","Core 2 T0 C0 Residency [%]","Core 3 T0 C0 Residency [%]","Core C1 Residency (avg) [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Trcd [T]","Trp [T]","Tras [T]","Command Rate [T]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
20.12.2022,9:47:59.689,1839,2809,39.5,1531,2413,38.8,19.0,1.040,1.040,1.040,1.040,1.040,800.1,800.1,800.1,800.1,800.1,100.0,533.3,282.1,260.4,266.5,221.9,379.4,282.1,10.8,9.1,12.9,9.1,12.2,12.9,10.8,100.0,17.2,15.3,16.5,13.6,23.3,17.2,8,8,8,8,8,32,43,42,42,43,43,68,68,68,67,67,43,43,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,43,41,44,42,4.199,0.883,0.100,15.0,1950.0,550.0,3.3,0.0,0.0,0.0,0.0,0.0,184,16.9,15.5,16.5,13.2,22.5,83.1,84.5,83.5,86.9,77.5,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,7.4,7.5,14.9,2.289,0.214,3090,693,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.672,0.000,0,
20.12.2022,9:48:1.758,1839,2810,39.5,1532,2412,38.8,19.0,1.090,1.090,1.090,1.090,1.090,800.1,800.1,800.1,800.1,800.1,100.0,533.3,111.1,74.2,100.4,75.8,194.0,111.1,6.6,5.3,5.3,3.0,12.9,12.9,6.6,100.0,6.7,4.2,6.0,4.5,11.9,6.7,8,8,8,8,8,32,43,43,43,43,43,67,67,67,67,67,44,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,40,43,42,3.439,0.353,0.050,15.0,1950.0,550.0,1.7,0.0,0.0,0.0,0.0,0.0,185,8.6,6.4,8.4,6.1,13.3,91.5,93.7,91.7,94.0,86.7,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.1,0.3,0.4,0.137,0.086,3090,693,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.851,0.069,0,
20.12.2022,9:48:3.797,1840,2809,39.5,1532,2412,38.8,19.0,1.140,1.140,1.140,1.140,1.140,1300.1,1300.1,1300.1,1300.1,1300.1,100.0,533.3,75.1,131.9,69.2,43.2,56.3,75.1,3.4,6.8,3.0,0.7,3.0,6.8,3.4,100.0,4.5,7.9,4.1,2.6,3.3,4.5,13,13,13,13,13,32,43,43,43,43,43,67,67,67,67,67,43,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,41,45,42,3.272,0.261,0.022,15.0,1950.0,550.0,1.1,0.0,0.0,0.0,0.0,0.0,185,6.6,9.2,6.9,5.0,5.1,93.5,90.9,93.1,95.0,94.9,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.4,0.6,1.0,0.100,0.709,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.809,0.000,0,
20.12.2022,9:48:5.865,1842,2806,39.6,1532,2412,38.8,19.0,1.130,1.130,1.130,1.130,1.130,800.1,800.1,800.1,800.1,800.1,100.0,533.3,68.5,99.6,70.1,29.5,74.9,68.5,4.0,4.5,5.3,1.5,4.5,5.3,4.0,100.0,4.1,5.9,4.2,1.7,4.5,4.1,8,8,8,8,8,32,42,42,42,42,42,68,68,68,68,68,44,42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44,41,44,42,3.257,0.258,0.014,15.0,1950.0,550.0,0.8,0.0,0.0,0.0,0.0,0.0,185,4.6,6.3,4.9,2.4,4.9,95.4,93.7,95.2,97.6,95.2,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.1,0.1,0.1,0.025,0.066,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,0.856,0.000,0,
20.12.2022,9:48:7.924,1833,2816,39.4,1528,2417,38.7,19.0,1.130,1.130,1.130,1.130,1.130,800.1,800.1,800.1,800.1,800.1,100.0,533.3,80.5,134.0,78.9,43.5,65.7,80.5,6.0,8.3,6.8,1.5,7.5,8.3,6.0,100.0,4.8,8.1,4.7,2.6,4.0,4.8,8,8,8,8,8,32,42,42,43,42,42,68,68,67,68,68,43,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,41,44,42,3.274,0.266,0.015,15.0,1950.0,550.0,0.8,0.0,0.0,0.0,0.0,0.0,185,7.4,9.7,8.3,4.8,6.9,92.6,90.4,91.7,95.2,93.1,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.1,0.015,0.017,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,6.460,0.000,0,
20.12.2022,9:48:9.972,1832,2816,39.4,1528,2417,38.7,19.0,1.090,1.090,1.090,1.090,1.090,800.1,800.1,800.1,800.1,800.1,100.0,533.3,85.0,64.8,87.2,49.3,138.5,85.0,4.9,3.0,6.0,2.2,8.3,8.3,4.9,100.0,5.1,3.6,5.2,2.9,8.5,5.1,8,8,8,8,8,32,42,41,41,42,42,69,69,69,68,68,44,42,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,43,41,44,43,3.335,0.292,0.040,15.0,1950.0,550.0,1.5,0.0,0.0,0.0,0.0,0.0,185,6.4,5.0,8.1,4.0,8.6,93.6,95.1,91.9,96.1,91.4,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.001,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,7.071,0.031,0,
20.12.2022,9:48:12.031,1831,2817,39.4,1527,2417,38.7,19.0,1.050,1.050,1.050,1.050,1.050,800.1,800.1,800.1,800.1,800.1,100.0,533.3,96.3,87.0,75.7,102.6,119.9,96.3,7.2,3.8,8.3,8.3,8.3,8.3,7.2,100.0,5.8,5.0,4.5,6.3,7.3,5.8,8,8,8,8,8,32,42,41,41,42,42,69,69,69,68,68,43,42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,41,44,43,3.400,0.323,0.059,15.0,1950.0,550.0,2.1,0.0,0.0,0.0,0.0,0.0,185,7.4,7.2,6.1,7.8,8.5,92.7,92.9,94.0,92.2,91.6,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.000,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,2.123,0.000,0,
20.12.2022,9:48:14.090,1831,2817,39.4,1526,2418,38.7,19.0,1.090,1.090,1.090,1.090,1.090,800.1,800.1,800.1,800.1,800.1,100.0,533.3,79.2,51.7,58.0,66.0,140.9,79.2,5.5,5.3,4.5,4.5,7.5,7.5,5.5,100.0,4.7,2.8,3.4,4.0,8.6,4.7,8,8,8,8,8,32,43,43,42,43,43,67,67,68,67,67,44,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,41,44,43,3.265,0.265,0.020,15.0,1950.0,550.0,1.2,0.0,0.0,0.0,0.0,0.0,185,7.2,5.3,6.6,6.7,10.1,92.9,94.8,93.5,93.4,89.9,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.1,0.0,0.1,0.032,0.019,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,2.395,0.000,0,
20.12.2022,9:48:16.138,1831,2817,39.3,1526,2418,38.7,19.0,1.050,1.050,1.050,1.050,1.050,800.1,800.1,800.1,800.1,800.1,100.0,533.3,55.2,44.7,49.5,34.4,92.0,55.2,3.0,2.2,2.2,0.7,6.8,6.8,3.0,100.0,3.3,2.5,2.9,2.1,5.6,3.3,8,8,8,8,8,32,43,42,42,43,43,68,68,68,67,67,44,43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,41,44,42,3.190,0.216,0.005,15.0,1950.0,550.0,0.5,0.0,0.0,0.0,0.0,0.0,185,4.1,3.2,4.6,3.0,5.7,96.0,96.9,95.5,97.1,94.4,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.0,0.0,0.000,0.000,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,1.351,0.000,0,
20.12.2022,9:48:18.197,1834,2815,39.4,1529,2415,38.7,19.0,1.050,1.050,1.050,1.050,1.050,800.1,800.1,800.1,800.1,800.1,100.0,533.3,85.6,56.6,84.9,44.5,156.3,85.6,3.9,2.2,3.0,3.7,6.8,6.8,3.9,100.0,5.1,3.1,5.1,2.6,9.5,5.1,8,8,8,8,8,32,43,43,43,42,42,68,67,67,68,68,43,43,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,43,41,43,42,3.379,0.299,0.063,15.0,1950.0,550.0,2.1,0.0,0.0,0.0,0.0,0.0,186,6.0,4.2,7.4,3.3,9.2,94.0,95.9,92.6,96.7,90.9,1200.0,18.00,22,22,51,1,30,No,No,23892,23287,0.0,0.3,0.3,0.000,0.112,3090,695,0.0,0.0,0.0,0.000,0.000,0,0,0,0,0.000,0.000,0,0,0.000,0.000,59,1,1.200,0.000,0,
